serial,year,intyear,intmon,monthid,quarter,gor,ladsupgp,wtm2insr,c11indivwgt,victim,victype,agegrp,sexage,nsethgrp,onsdisab,genheal2,tenure1,tothhin4,stranger,acquain,seracq,othacq,hhldacq,persacq,domestic,dom_acq,violence,robbery,theftper
"100324","23","23","4","2304","232","7","1","1.12451254416572","1653.43956871685","0","0","3","6","1","2","2","1","5","0","0","0","0","0","0","0","0","0","0","0"
"100325","23","23","4","2304","232","7","1",".570528348677289","1078.11311265058","0","0","3","6","1","2","2","4","2","0","0","0","0","0","0","0","0","0","0","0"
"100326","23","23","4","2304","232","7","1","1.44162280036359","2225.45591878639","0","0","2","5","3","2","2","2","5","0","0","0","0","0","0","0","0","0","0","0"
"100327","23","23","7","2307","233","7","1","3.09487118382388","4385.71582619564","0","0","2","2","3","2","2","2","2","0","0","0","0","0","0","0","0","0","0","0"
"100328","23","23","4","2304","232","7","1","2.0320126573923","3194.07397996808","0","0","2","5","1","1","3","4","5","0","0","0","0","0","0","0","0","0","0","0"
"100330","23","23","4","2304","232","7","1",".824784670611954","1273.23314148106","0","0","2","5","1","1","3","4","3","0","0","0","0","0","0","0","0","0","0","0"
"100331","23","23","4","2304","232","7","1","1.82293442218314","2812.77837331904","0","2","3","6","1","2","2","1"," ","0","0","0","0","0","0","0","0","0","0","0"
"100405","23","23","4","2304","232","7","3","4.02172900325858","6839.18608745006","0","0","2","5","1","2","2","4","5","0","0","0","0","0","0","0","0","0","0","0"
"100502","23","23","4","2304","232","7","2","1.1720470677888","1723.33248600469","1","1","3","6","4","2","2","1","6","0","0","1","0","1","0","0","0","0","0","0"
"100505","23","23","4","2304","232","7","2","1.1720470677888","1842.31384037062","1","1","2","5","5","2","2","2","6","0","0","0","0","0","0","0","0","0","0","0"
"100508","23","23","4","2304","232","7","2","1.85332273695206","2930.07349146549","0","0","2","5","4","2","1","4","6","0","0","0","0","0","0","0","0","0","0","0"
"100510","23","23","4","2304","232","7","2",".542881808425165","788.988060400067","0","0","2","5","4","1","3","4","3","0","0","0","0","0","0","0","0","0","0","0"
"100514","23","23","4","2304","232","7","2","3.37461422732976","5367.44051808226","0","0","2","5","1","2","1","4","4","0","0","0","0","0","0","0","0","0","0","0"
"100517","23","23","4","2304","232","7","2",".598525501503589","880.048650596721","0","0","3","6","1","1","3","4","2","0","0","0","0","0","0","0","0","0","0","0"
"100518","23","23","4","2304","232","7","2","1.08576361685033","1596.46465100605","0","0","3","6","1","2","2","1","2","0","0","0","0","0","0","0","0","0","0","0"
"100519","23","23","4","2304","232","7","2",".55393131522384","855.112532734021","0","0","2","5","5","2","2","4","2","0","0","0","0","0","0","0","0","0","0","0"
"100520","23","23","4","2304","232","7","2",".602447259495389","1143.41157308029","1","1","2","2","5","1","3","4","1","0","0","0","0","0","0","0","0","0","0","0"
"100523","23","23","4","2304","232","7","2",".565748641594031","954.704749800221","0","0","3","6","4","1","3","4","1","0","0","0","0","0","0","0","0","0","0","0"
"100528","23","23","4","2304","232","7","2","1.62864542527549","2366.9641812002","0","0","2","5","1","2","1","4","6","0","0","0","0","0","0","0","0","0","0","0"
"100530","23","23","4","2304","232","7","2",".542881808425165","679.474450035002","0","0","3","3","5","2","3","1","2","0","0","0","0","0","0","0","0","0","0","0"
"100601","23","23","4","2304","232","7","2",".535526361605878","1016.39941073452","0","0","2","2","4","2","2","4","1","0","0","0","0","0","0","0","0","0","0","0"
"100602","23","23","4","2304","232","7","2",".521940903083924","767.441631636955","0","0","3","6","4","1","1","4","1","0","0","0","0","0","0","0","0","0","0","0"
"100603","23","23","4","2304","232","7","2",".72840958271011","1238.70322440917","1","1","2","5","4","2","1","4","3","0","0","1","0","1","0","0","0","0","0","0"
"100604","23","23","5","2305","232","7","2","1.45681916542022","2303.20771085812","0","0","2","5","4","2","1","4","4","0","0","0","0","0","0","0","0","0","0","0"
"100606","23","23","4","2304","232","7","2","1.05536974594775","2003.03339815375","0","0","2","2","4","2","1","4","3","0","0","0","0","0","0","0","0","0","0","0"
"100608","23","23","4","2304","232","7","2","2.25395643710976","4344.66303444477","1","1","2","2","1","1","3","4","1","0","0","0","1","2","0","0","0","0","0","0"
"100609","23","23","4","2304","232","7","2",".733494340988206","1917.55412529795","0","0","1","1","1","2","1","4","7","0","0","0","0","0","0","0","0","0","0","0"
"100611","23","23","4","2304","232","7","2","1.45681916542022","2700.55697211075","0","0","2","2","4","2","1","4","3","0","0","0","0","0","0","0","0","0","0","0"
"100613","23","23","5","2305","232","7","2",".519197080074628","825.800893593591","0","2","2","5","1","2","2","4","3","0","0","0","0","0","0","0","0","0","0","0"
"100618","23","23","4","2304","232","7","2",".774226968425744","1128.83096553588","1","1","3","3","1","1","4","4","7","0","0","0","0","0","0","0","0","0","0","0"
"100620","23","23","5","2305","232","7","2","3.66747170494103","5658.88984863399","0","0","3","6","1","1","3","4","7","0","0","0","0","0","0","0","0","0","0","0"
"100623","23","23","4","2304","232","7","2","1.04564280627785","1643.62188774896","1","1","2","5","1","2","2","4","2","0","0","0","1","1","0","0","0","0","0","0"
"100626","23","23","4","2304","232","7","2",".527684872973877","775.887341866549","0","0","3","6","1","2","1","4","7","0","0","0","0","0","0","0","0","0","0","0"
"100631","23","23","5","2305","232","7","2",".527684872973877","834.261312031853","0","0","2","5","3","2","1","4","1","0","0","0","0","0","0","0","0","0","0","0"
"100701","23","23","5","2305","232","7","4","2.27961030765791","4745.58181790148","0","0","1","4","1","2","1","4","6","0","0","0","0","0","0","0","0","0","0","0"
"100703","23","23","7","2307","233","7","4",".626541212194308","979.418260089531","1","1","2","2","1","1","2","4","2","0","1","0","1","0","1","0","1","1","0","1"
"100704","23","23","4","2304","232","7","4",".794675087603933","1341.0197124747","1","1","3","6","4","1","3","4","1","0","0","1","0","1","0","0","0","0","0","0"
"100708","23","23","6","2306","232","7","4","1.51974020510527","2884.38284215662","0","0","2","2","1","2","4","4","6","0","0","0","0","0","0","0","0","0","0","0"
"100711","23","23","5","2305","232","7","4",".866622930019452","1084.67097188404","0","0","3","3","1","1","2","4","1","0","0","0","0","0","0","0","0","0","0","0"
"100712","23","23","4","2304","232","7","4","1.58623372130307","2493.36431883452","0","0","2","5","1","1","2","1","6","0","0","0","0","0","0","0","0","0","0","0"
"100716","23","23","4","2304","232","7","4","2.02079629776509","2971.30038822307","0","0","3","6","1","2","1","1","6","0","0","0","0","0","0","0","0","0","0","0"
"100722","23","23","4","2304","232","7","4","1.840542069037","3831.55092278847","0","0","1","4","1","1","2","4","5","0","0","0","0","0","0","0","0","0","0","0"
"100726","23","23","5","2305","232","7","4","1.81263521362214","2373.48734982136","0","2","3","3","1","2","2","1","6","0","0","0","0","0","0","0","0","0","0","0"
"100727","23","23","4","2304","232","7","4",".861912006928685","1408.65833840871","0","0","2","2","1","1","3","4","1","0","0","0","0","0","0","0","0","0","0","0"
"100801","23","23","6","2306","232","7","2","1.20134196255002","2280.08059055199","0","0","2","2","3","2","2","1"," ","0","0","0","0","0","0","0","0","0","0","0"
"100803","23","23","4","2304","232","7","2",".648909285607254","1250.81928801648","0","0","2","2","3","2","2","2","5","0","0","0","0","0","0","0","0","0","0","0"
"100804","23","23","4","2304","232","7","2",".567744208327463","1005.71664045644","0","0","2","2","3","1","2","1"," ","0","0","0","0","0","0","0","0","0","0","0"
"100805","23","23","6","2306","232","7","2",".881262930509037","1359.78413813426","0","0","3","6","1","2","2","1"," ","0","0","0","0","0","0","0","0","0","0","0"
"100806","23","23","4","2304","232","7","2","1.12546523812303","1737.39848935348","0","0","2","5","3","2","2","2","4","0","0","0","0","0","0","0","0","0","0","0"
"100807","23","23","4","2304","232","7","2",".547748182970421","845.172609796283","0","0","3","6","1","1","2","1","6","0","0","0","0","0","0","0","0","0","0","0"
"100808","23","23","4","2304","232","7","2",".61544235614293","894.442700649442","1","1","2","5","3","2","2","1"," ","0","0","0","0","0","0","0","0","0","0","0"
"100809","23","23","4","2304","232","7","2",".562732619061516","889.671235894272","1","1","2","5","3","2","1","2","5","0","0","0","0","0","0","0","0","0","0","0"
"100811","23","23","6","2306","232","7","2",".873081281465283","1388.66594224728","0","0","2","5","4","2","3","4"," ","0","0","0","0","0","0","0","0","0","0","0"
"100812","23","23","4","2304","232","7","2",".529882519120607","817.605982993787","0","0","3","6","1","1","3","1","3","0","0","0","0","0","0","0","0","0","0","0"
"100815","23","23","4","2304","232","7","2",".54266288635545","886.896334735471","0","0","2","2","3","2","2","4","4","0","0","0","0","0","0","0","0","0","0","0"
"100816","23","23","5","2305","232","7","2",".649208490889509","943.516139374887","0","0","2","5","3","2","2","1"," ","0","0","0","0","0","0","0","0","0","0","0"
"100817","23","23","6","2306","232","7","2","1.74616256293057","3365.85384455074","0","0","2","2","1","2","2","2"," ","0","0","0","0","0","0","0","0","0","0","0"
"100818","23","23","4","2304","232","7","2",".600670981275008","875.784532720114","0","0","3","3","1","1","2","1","4","0","0","0","0","0","0","0","0","0","0","0"
"100819","23","23","4","2304","232","7","2",".54266288635545","873.09375854858","0","0","3","3","4","2","2","2","4","0","0","0","0","0","0","0","0","0","0","0"
"100820","23","23","4","2304","232","7","2",".600670981275008","883.203280721881","0","0","3","6","1","2","2","1","4","0","0","0","0","0","0","0","0","0","0","0"
"100821","23","23","6","2306","232","7","2","2.46176942457172","3577.77080259777","0","0","2","5","1","2","2","2"," ","0","0","0","0","0","0","0","0","0","0","0"
"100822","23","23","6","2306","232","7","2","1.80201294382502","4710.95298379069","0","0","1","1","1","2","2","1"," ","0","0","0","0","0","0","0","0","0","0","0"
"100823","23","23","4","2304","232","7","2",".834842281119129","1609.21850070042","1","1","2","2","1","2","3","4"," ","0","1","0","0","0","0","0","1","0","0","0"
"100824","23","23","4","2304","232","7","2",".529882519120607","837.735755305961","1","1","2","5","1","2","2","2","4","0","0","1","0","1","0","0","0","0","0","0"
"100825","23","23","4","2304","232","7","2",".834842281119129","1093.15298436287","0","0","3","3","1","1","4","4"," ","0","0","0","0","0","0","0","0","0","0","0"
"100827","23","23","4","2304","232","7","2",".649208490889509","850.08176435222","0","0","3","3","1","1","3","1","3","0","0","0","0","0","0","0","0","0","0","0"
"100828","23","23","4","2304","232","7","2","1.76252586101807","2997.278617649","0","0","2","5","1","2","2","4"," ","0","0","0","0","0","0","0","0","0","0","0"
"100829","23","23","4","2304","232","7","2",".873483850109385","1087.45250186948","0","0","3","3","1","1","3","4","2","0","0","0","0","0","0","0","0","0","0","0"
"100830","23","23","6","2306","232","7","2","1.74696770021877","2970.8210525573","0","0","2","5","3","2","2","4"," ","0","0","0","0","0","0","0","0","0","0","0"
"100901","23","23","4","2304","232","7","1","1.80117734468971","2847.63246350871","0","0","2","5","1","2","2","4","7","0","0","0","0","0","0","0","0","0","0","0"
